"Geneid","log2FC_T20","padj_T20","log2FC_T26","padj_T26"
"Cvel_16743",-11.9283274277542,4.73825878599849e-21,-12.7675927922923,2.72136974720496e-25
"Cvel_21732",-10.5506761900963,4.63025626270948e-22,-12.7440585197064,6.10190398003168e-25
"Cvel_16449",-12.7423097246473,2.54850968633166e-24,-11.4423923832197,4.38442582954609e-20
"Cvel_23721",-8.41766506831135,9.71102772324317e-48,-12.7418065697414,3.54439439745349e-24
"Cvel_19979",-12.7242602272319,2.27808052961047e-24,-8.65436267469855,3.78874762024548e-76
"Cvel_10195",-12.5434056827162,9.30639223070999e-24,-12.716291800645,4.35166972133365e-25
"Cvel_28760",-12.1224068487106,2.64194824353953e-29,-12.6968650163946,5.28814864377436e-33
"Cvel_14630",-12.6839125893153,8.76046605637798e-24,-11.6072196959211,1.16906156282971e-20
"Cvel_36086",-12.6816676459483,1.06509790471486e-23,-11.7852444362796,7.99569786507787e-27
"Cvel_22884",-11.2387689834638,3.23316418685072e-25,-12.6737135815605,1.14819488067644e-24
"Cvel_21630",-12.6625719514112,2.4859911720325e-24,-12.6626176329734,3.96463877294259e-24
"Cvel_2672",-12.6303412364245,6.99755483547391e-24,-9.71784800480939,6.75330926732636e-47
"Cvel_24296",-9.47692207125972,1.04772196118795e-24,-12.6173728809541,1.68402327188588e-24
"Cvel_27292",-12.5720606949818,1.50808270232096e-23,-12.6118891827816,2.04266248742537e-24
"Cvel_25857",-12.2562778116367,3.25582760050095e-22,-12.591276552536,1.98570201802983e-24
"Cvel_133",-12.5774457378903,2.72291500018761e-29,-12.2507701638734,1.08998329451139e-29
"Cvel_27781",-11.9519303510713,2.70457552394646e-21,-12.5734824808653,2.4595807816344e-24
"Cvel_14985",-12.3418490211878,8.98482347521479e-23,-12.5347758097767,1.49993357666996e-23
"Cvel_2055",-12.4852842495663,2.21724437150759e-23,-11.692104215618,7.29056418075231e-21
"Cvel_6189",-9.86749090982164,4.58640035723487e-84,-12.481280411103,2.05148131987734e-45
"Cvel_12290",-9.41209935943721,4.4564364204204e-51,-12.4574936269527,1.22934094194742e-23
"Cvel_23588",-12.3884932736098,2.85710512417395e-23,-12.4331459817729,6.01193965183448e-24
"Cvel_14672",-12.4223846173135,9.36034643897716e-23,-12.1978189747669,1.17206667163505e-22
"Cvel_13333",-12.4193900809565,5.23267842993494e-23,-6.95745025206589,2.25269482403893e-33
"Cvel_14434",-12.4159751734523,3.8410094287203e-23,-12.1610886220583,2.17500956180561e-22
"Cvel_19061",-12.4156352161937,1.28101873466298e-22,-10.7245719117235,1.34566656195884e-22
"Cvel_29252",-7.50310991597488,1.23040910180015e-19,-12.4019171805167,1.02032100607688e-19
"Cvel_33769",-11.9524267288677,4.31432069387407e-21,-12.3731444488835,2.24303353163069e-23
"Cvel_35758",-12.3663228152724,8.61617372120104e-23,-10.9753813317634,2.06582641325612e-24
"Cvel_23383",-11.6893981927616,3.50718475853329e-20,-12.3161110635092,5.83783123260473e-23
"Cvel_15695",-12.2952656948475,5.54715543113714e-22,-12.232825518565,5.66498151697434e-23
"Cvel_34154",-12.2852535647444,1.20238934482421e-22,-10.437690032344,2.95266555730336e-22
"Cvel_10317",-12.2819430002332,5.93846781850685e-22,-9.05474264819087,5.39921677951186e-37
"Cvel_6192",-12.279134814082,2.23147875021788e-30,-10.1875163702009,5.15028662170972e-108
"Cvel_36572",-12.2741141782264,3.26769243260166e-21,-10.5418836258761,1.43482017528624e-22
"Cvel_7898",-12.2449033054954,1.07347468398877e-22,-11.8158671556589,2.71777152540141e-21
"Cvel_12858",-11.9644611193923,6.24189177785891e-21,-12.1933465880672,6.18451198089208e-23
"Cvel_29854",-12.1892903188086,1.78748592571168e-22,-7.89005796186319,3.37060595984677e-50
